snapped_at,price,market_cap,total_volume
2017-07-15 00:00:00 UTC,0.032645,3024439.344915,39010.0
2017-07-16 00:00:00 UTC,0.026179,2436069.226533,36815.0
2017-07-17 00:00:00 UTC,0.031426,2937147.088302,28664.0
2017-07-18 00:00:00 UTC,0.034118,3202667.816586,8542.0
2017-07-19 00:00:00 UTC,0.031891,3006630.126357,11378.0
2017-07-20 00:00:00 UTC,0.041169,3898141.396263,15676.0
2017-07-21 00:00:00 UTC,0.037524,3568319.526348,20392.0
2017-07-22 00:00:00 UTC,0.040202,3839384.550054,26684.0
2017-07-23 00:00:00 UTC,0.039346,3773546.00185,35956.0
2017-07-24 00:00:00 UTC,0.051286,4939781.718522,80208.0
2017-07-25 00:00:00 UTC,0.050362,4871331.280374,104807.0
2017-07-26 00:00:00 UTC,0.046415,4508489.787705,43966.0
2017-07-27 00:00:00 UTC,0.045442,4432518.423534,35262.0
2017-07-28 00:00:00 UTC,0.039652,3883926.366204,49258.0
2017-07-29 00:00:00 UTC,0.039249,3860465.976423,17519.0
2017-07-30 00:00:00 UTC,0.03878,3829498.90106,8148.0
2017-07-31 00:00:00 UTC,0.040113,3977497.857951,23390.0
2017-08-01 00:00:00 UTC,0.039102,3893203.416354,21172.0
2017-08-02 00:00:00 UTC,0.037439,3742901.389553,24100.0
2017-08-03 00:00:00 UTC,0.038573,3872008.926371,8838.0
2017-08-04 00:00:00 UTC,0.040382,4070074.602914,24122.0
2017-08-05 00:00:00 UTC,0.055445,5610885.795515,19771.0
2017-08-06 00:00:00 UTC,0.0545,5537264.528,24375.0
2017-08-07 00:00:00 UTC,0.068851,7023719.577277,17380.0
2017-08-08 00:00:00 UTC,0.056281,5764374.704887,17443.0
2017-08-09 00:00:00 UTC,0.053038,5453861.845426,40817.0
2017-08-10 00:00:00 UTC,0.09891,10192956.60222,311647.0
2017-08-11 00:00:00 UTC,0.114775,11827907.271575,390822.0
2017-08-12 00:00:00 UTC,0.09731,10034337.84592,176167.0
2017-08-13 00:00:00 UTC,0.101351,10492766.969543,146144.0
2017-08-14 00:00:00 UTC,0.095552,9931387.555136,127070.0
2017-08-15 00:00:00 UTC,0.102313,10675411.471482,146275.0
2017-08-16 00:00:00 UTC,0.135648,14209533.994464,215397.0
2017-08-17 00:00:00 UTC,0.148758,15582845.732694,212865.0
2017-08-18 00:00:00 UTC,0.143097,15082279.701321,284917.0
2017-08-19 00:00:00 UTC,0.157643,16658566.805962,150698.0
2017-08-20 00:00:00 UTC,0.14958,15887638.65294,101308.0
2017-08-21 00:00:00 UTC,0.136384,14541670.277312,111792.0
2017-08-22 00:00:00 UTC,0.117684,12583831.612212,79128.0
2017-08-23 00:00:00 UTC,0.15149,16216700.45957,131157.0
2017-08-24 00:00:00 UTC,0.131348,14083182.866284,181495.0
2017-08-25 00:00:00 UTC,0.13882,14884333.56806,78670.0
2017-08-26 00:00:00 UTC,0.147678,15927886.596492,133206.0
2017-08-27 00:00:00 UTC,0.162893,17568908.242002,175930.0
2017-08-28 00:00:00 UTC,0.166918,18022889.927852,207489.0
2017-08-29 00:00:00 UTC,0.153618,16645659.516258,243407.0
2017-08-30 00:00:00 UTC,0.16666,18102328.87788,169768.0
2017-08-31 00:00:00 UTC,0.161479,17599868.140636,231614.0
2017-09-01 00:00:00 UTC,0.166475,18190128.767775,178149.0
2017-09-02 00:00:00 UTC,0.150987,16497810.315423,94028.0
2017-09-03 00:00:00 UTC,0.153024,16720386.031296,81010.0
2017-09-04 00:00:00 UTC,0.125522,13721742.322938,159491.0
2017-09-05 00:00:00 UTC,0.140379,15374508.681591,87457.0
2017-09-06 00:00:00 UTC,0.141912,15607542.640248,79497.0
2017-09-07 00:00:00 UTC,0.125982,13855554.406278,114163.0
2017-09-08 00:00:00 UTC,0.123213,13567754.620167,103380.0
2017-09-09 00:00:00 UTC,0.121744,13455665.387696,59952.0
2017-09-10 00:00:00 UTC,0.106629,11828595.844911,66432.0
2017-09-11 00:00:00 UTC,0.104901,11671649.161569,113351.0
2017-09-12 00:00:00 UTC,0.097792,10920576.296448,108683.0
2017-09-13 00:00:00 UTC,0.090344,10125707.547336,78425.0
2017-09-14 00:00:00 UTC,0.080977,9108897.777213,54790.0
2017-09-15 00:00:00 UTC,0.082497,9313176.169233,97507.0
2017-09-16 00:00:00 UTC,0.0779098,8827450.6090962,37902.8
2017-09-17 00:00:00 UTC,0.0807322,9180177.0576018,67348.3
2017-09-18 00:00:00 UTC,0.0871776,9948661.4206944,89575.9
2017-09-19 00:00:00 UTC,0.103582,11862042.83716,141098.0
2017-09-20 00:00:00 UTC,0.108327,12449629.96626,91587.2
2017-09-21 00:00:00 UTC,0.0813438,9381729.9069648,146013.0
2017-09-22 00:00:00 UTC,0.0779979,9027656.0291784,69223.2
2017-09-23 00:00:00 UTC,0.0748949,8699064.8038904,52545.7
2017-09-24 00:00:00 UTC,0.0752713,8773494.4657048,69975.2
2017-09-25 00:00:00 UTC,0.0885743,10358702.0286928,143001.0
2017-09-26 00:00:00 UTC,0.0816005,9577801.240748,99886.2
2017-09-27 00:00:00 UTC,0.0860333,10133199.6064568,108168.0
2017-09-28 00:00:00 UTC,0.0877012,10365430.7875552,108219.0
2017-09-29 00:00:00 UTC,0.0827051,9808683.9305096,73060.1
2017-09-30 00:00:00 UTC,0.0769757,9160592.9390072,124803.0
2017-10-01 00:00:00 UTC,0.0831477,9929024.0595192,105032.0
2017-10-02 00:00:00 UTC,0.0777821,9320029.8097016,101426.0
